Name,Label,Domain,Range,URI,Count
frontierLength,length of a frontier,Place,xsd:float,http://dbpedia.org/ontology/frontierLength,0
fuel,fuel,owl:Thing,owl:Thing,http://dbpedia.org/ontology/fuel,0
fuelType,fuel type,owl:Thing,owl:Thing,http://dbpedia.org/ontology/fuelType,1335
gameModus,Modus the game can be played in,owl:Thing,xsd:string,http://dbpedia.org/ontology/gameModus,0
gender,gender,owl:Thing,owl:Thing,http://dbpedia.org/ontology/gender,640
genre,genre,owl:Thing,Genre,http://dbpedia.org/ontology/genre,220423
geolocDual,geolocdual,Place,xsd:string,http://dbpedia.org/ontology/geolocDual,0
geologicPeriod,geologic period,Place,xsd:string,http://dbpedia.org/ontology/geologicPeriod,0
geology,geology,owl:Thing,xsd:string,http://dbpedia.org/ontology/geology,0
governingBody,governing body,Place,Organisation,http://dbpedia.org/ontology/governingBody,7441
governmentType,government type,owl:Thing,GovernmentType,http://dbpedia.org/ontology/governmentType,17870
governor,governor,owl:Thing,Person,http://dbpedia.org/ontology/governor,7560
governorGeneral,governor general,owl:Thing,Person,http://dbpedia.org/ontology/governorGeneral,628
greekName,name in ancient Greek,owl:Thing,xsd:string,http://dbpedia.org/ontology/greekName,24
greenLongDistancePisteNumber,green long distance piste number,Place,xsd:nonNegativeInteger,http://dbpedia.org/ontology/greenLongDistancePisteNumber,0
greenSkiPisteNumber,green ski piste number,Place,xsd:nonNegativeInteger,http://dbpedia.org/ontology/greenSkiPisteNumber,0
gridReference,grid reference,Place,xsd:string,http://dbpedia.org/ontology/gridReference,20735
grossDomesticProductPerPeople,gross domestic product per people,Place,xsd:string,http://dbpedia.org/ontology/grossDomesticProductPerPeople,0
grossDomesticProductRank,gross domestic product rank,Place,xsd:string,http://dbpedia.org/ontology/grossDomesticProductRank,0
hasChannel,has channel,owl:Thing,owl:Thing,http://dbpedia.org/ontology/hasChannel,0
hasInput,has input,owl:Thing,owl:Thing,http://dbpedia.org/ontology/hasInput,0
hasInsidePlace,has inside place,Place,Place,http://dbpedia.org/ontology/hasInsidePlace,0
hasOutsidePlace,has outside place,Place,Place,http://dbpedia.org/ontology/hasOutsidePlace,0
hasSurfaceForm,undefined,owl:Thing,xsd:string,http://dbpedia.org/ontology/hasSurfaceForm,0
hasVariant,variant or variation,owl:Thing,owl:Thing,http://dbpedia.org/ontology/hasVariant,503
height,height,owl:Thing,Length,http://dbpedia.org/ontology/height,281108
heritageRegister,heritage register,Place,owl:Thing,http://dbpedia.org/ontology/heritageRegister,0
highestAltitude,highest altitude,Place,Altitude,http://dbpedia.org/ontology/highestAltitude,0
highestMountain,highest mountain,owl:Thing,Mountain,http://dbpedia.org/ontology/highestMountain,0
highestPlace,highest place,owl:Thing,PopulatedPlace,http://dbpedia.org/ontology/highestPlace,33
highestPosition,highest position,owl:Thing,geo:SpatialThing,http://dbpedia.org/ontology/highestPosition,0
highschool,highschool,owl:Thing,School,http://dbpedia.org/ontology/highschool,20552
historicalMap,historical map,Place,xsd:string,http://dbpedia.org/ontology/historicalMap,0
historicalName,historical name,Place,rdf:langString,http://dbpedia.org/ontology/historicalName,0
homeArena,home arena,owl:Thing,Arena,http://dbpedia.org/ontology/homeArena,0
homeColourHexCode,colour hex code of home jersey or its parts,owl:Thing,xsd:string,http://dbpedia.org/ontology/homeColourHexCode,0
homeStadium,home stadium,owl:Thing,Stadium,http://dbpedia.org/ontology/homeStadium,11749
honours,honours,owl:Thing,owl:Thing,http://dbpedia.org/ontology/honours,2345
humanDevelopmentIndexRank,human development index rank,Place,xsd:string,http://dbpedia.org/ontology/humanDevelopmentIndexRank,0
imageSize,image size (px),owl:Thing,xsd:integer,http://dbpedia.org/ontology/imageSize,1666
imdbId,IMDB id,owl:Thing,xsd:string,http://dbpedia.org/ontology/imdbId,74092
incumbent,incumbent,owl:Thing,Person,http://dbpedia.org/ontology/incumbent,58
individualisedGnd,individualised GND number,owl:Thing,xsd:string,http://dbpedia.org/ontology/individualisedGnd,326
influenced,influenced,owl:Thing,owl:Thing,http://dbpedia.org/ontology/influenced,2313
influencedBy,influenced by,owl:Thing,owl:Thing,http://dbpedia.org/ontology/influencedBy,4570
