Name,Label,Domain,Range,URI,Count
timeInSpace,total time person has spent in space,owl:Thing,Time,http://dbpedia.org/ontology/timeInSpace,122
timeZone,time zone,Place,owl:Thing,http://dbpedia.org/ontology/timeZone,295806
title,title,owl:Thing,rdf:langString,http://dbpedia.org/ontology/title,336273
topSpeed,top speed,owl:Thing,Speed,http://dbpedia.org/ontology/topSpeed,22233
totalLaunches,total launches,owl:Thing,xsd:nonNegativeInteger,http://dbpedia.org/ontology/totalLaunches,374
type,type,owl:Thing,owl:Thing,http://dbpedia.org/ontology/type,445639
ulanId,ULAN id,owl:Thing,xsd:string,http://dbpedia.org/ontology/ulanId,10
university,university,owl:Thing,EducationalInstitution,http://dbpedia.org/ontology/university,3919
utcOffset,UTC offset,Place,xsd:string,http://dbpedia.org/ontology/utcOffset,329619
variantOf,variant or variation,owl:Thing,owl:Thing,http://dbpedia.org/ontology/variantOf,4688
vehicle,vehicle,owl:Thing,Automobile,http://dbpedia.org/ontology/vehicle,39
viceChancellor,vice chancellor,owl:Thing,Person,http://dbpedia.org/ontology/viceChancellor,486
vicePresident,vice president,owl:Thing,Person,http://dbpedia.org/ontology/vicePresident,1389
vicePrimeMinister,vice prime minister,owl:Thing,Person,http://dbpedia.org/ontology/vicePrimeMinister,28
victim,victim (resource),owl:Thing,owl:Thing,http://dbpedia.org/ontology/victim,91
victims,victims (string),owl:Thing,xsd:string,http://dbpedia.org/ontology/victims,123
voice,voice,owl:Thing,Person,http://dbpedia.org/ontology/voice,3896
volume,volume,owl:Thing,Volume,http://dbpedia.org/ontology/volume,4233
webcast,webcast,owl:Thing,owl:Thing,http://dbpedia.org/ontology/webcast,8699
websiteLabel,label of a website,owl:Thing,rdf:langString,http://dbpedia.org/ontology/websiteLabel,13
weight,weight,owl:Thing,Mass,http://dbpedia.org/ontology/weight,107366
